Código;Nível;Unidade;Ativa;"Nome da Disciplina";"Nome Abreviado";"Nome em Inglês"
23017;Graduação;C3;Sim;"Atividade de Integração Curricular III";"Ativ. Int. Curr. III";"Curricular Integration Activities III"
23024;Graduação;C3;Sim;"Atividade de Integração Curricular IV";"Ativ. Int. Curr. IV";"Curricular Integration Activities IV"
23053;Graduação;C3;Sim;"Atividades de Integração Curricular I";"Ati. Int. Cur. I";"Integrated Curriculum Activities I"
23054;Graduação;C3;Sim;"Atividades de Integração Curricular II";"Ati. Int. Cur. II";"Integrated Curriculum Activities II"
23055;Graduação;C3;Sim;"Atividades de Integração Curricular III";"Ati. Int. Cur. III";"Integrated Curriculum Activities III"
23056;Graduação;C3;Sim;"Atividades de Integração Curricular IV";"Ati. Int. Cur. IV";"Integrated Curriculum Activities IV"
23033P;Pós-Graduação;C3;Sim;"Atividades Interdisciplinares";"Atividades Interdisc";"Interdisciplinary Activities"
23075P;Pós-Graduação;C3;Sim;"Atualidades em Automação";"Atualidades em Autom";
23074P;Pós-Graduação;C3;Sim;"Automação e Robótica Inteligentes";"Autom e Robot Inteli";
23108P;Pós-Graduação;C3;Sim;"Banco de dados SQL e no SQL";"Bco Dad SQL e no SQL";
01157;Graduação;C3;Sim;"BANCOS DE DADOS - C";"Bancos Dados C";
23128;Graduação;C3;Sim;Bioinformática;Bioinformática;
23183;Graduação;C3;Sim;Bioinformática;Bioinformática;
23129;Graduação;C3;Sim;"Bioinformática I";"Bioinformática I";
23130;Graduação;C3;Sim;"Bioinformática II";"Bioinformática II";
23112P;Pós-Graduação;C3;Sim;"Ciência de Dados em Escala";"Ciênc Dados Escala";
23103P;Pós-Graduação;C3;Sim;"Ciência de Dados na Organização";"Ciênc Dados na Organ";
23012;Graduação;C3;Sim;"Circuitos Elétricos e Eletrônica";"Cir. Elét. Eletr.";"Electric Circuits and Electronics"
23070;Graduação;C3;Sim;"Circuitos Elétricos e Eletrônica";"Circ. Elet. Eletrôn.";"Electrical and electronic circuits"
23066P;Pós-Graduação;C3;Sim;"Compatibilidade Magnética em Sistemas Elétricos";"Compat Magn Sist Elé";
23103;Graduação;C3;Sim;Compiladores;Compiladores;Compilers
01136;Graduação;C3;Sim;COMPILADORES;Compiladores;
01109;Graduação;C3;Sim;COMPUTACAO;Computação;"Computer Aided Engineering - CAE"
01262;Graduação;C3;Sim;Computação;Computação;Computation
01072;Graduação;C3;Sim;"COMPUTACAO APLICADA";"Computação Aplicada";
23164;Graduação;C3;Sim;"Computação Científica";"Com. Cie.";
23048P;Pós-Graduação;C3;Sim;"Computação Difusa e Intervalar";"Comp Difusa e Inter";"Diffuse and Interval Computing"
01138;Graduação;C3;Sim;"COMPUTACAO GRAFICA";"Computação Gráfica";
23142P;Pós-Graduação;C3;Sim;"Computação Heterogênea";"Computação Heterog";
23073P;Pós-Graduação;C3;Sim;"Confiabilidade, Redundância e Critérios de Desempenho";"Conf Red Crit de Des";
23077P;Pós-Graduação;C3;Sim;"Conservação de Energia e Legislação de Tarifas";"Cons En Leg Tarifas";
23098P;Pós-Graduação;C3;Sim;"Controle não Linear";"Controle não Linear";"Non-Linear Control"
23015;Graduação;C3;Sim;"Conversão de Energia";"Conversão de Energia";"Energy Conversion"
23076;Graduação;C3;Sim;"Conversão de Energia e Acionamentos";"Conv. Ener. Acion.";"energy conversion and actuator systems"
23136;Graduação;C3;Sim;"Conversão de Energia e Acionamentos";"Conv. Ene. Aci.";
23131;Graduação;C3;Sim;"Criatividade e Design Thinking";"Cri. Des. Thi.";
23148P;Pós-Graduação;C3;Sim;"Data Visualization and Exploratory Data Analysis";"Data Vis Expl Data A";"Data Visualization and Exploratory Data Analysis"
23155;Graduação;C3;Sim;"Descoberta de Conhecimento em Banco de Dados";"Des. Con. Ban.";
23091;Graduação;C3;Sim;"Descoberta de Conhecimento em Bancos de Dados";"Des. Con. Ban. Dados";
23057P;Pós-Graduação;C3;Sim;"Elaboração de Dissertação (Engª de Comp / ME)";"Elab Diss EngªComp M";"Master\'s Thesis (Computer Eng.)"
21011P;Pós-Graduação;C3;Sim;"Elaboração de Dissertação (MOD.COMP.)";"ELAB DE DISSERT.(MOD";"Master\\\'s Thesis Production"
23154P;Pós-Graduação;C3;Sim;"Elaboração de Tese (Engª de Comp)";"Elab Tese (Eng Comp)";"PhD Dissertation (Computer Eng.)"
23133;Graduação;C3;Sim;"Elaboração e Análise de Projetos";"Ela. Ana. Pro.";
23011P;Pós-Graduação;C3;Sim;"Elementos de Inteligência Artificial";"Elem de Int Artific";
23036P;Pós-Graduação;C3;Sim;"Elementos de Teoria da Computação e da Automação";"Elem Teo Comp e Auto";"Elements of Computing and Automation Theory"
03132;Graduação;C3;Sim;ELETRO-ELETRONICA;"Eletro Eletrônica";Electronics
03008;Graduação;C3;Sim;ELETRONICA;Eletrônica;
03130;Graduação;C3;Sim;"ELETRONICA ANALOGICA";"Eletrônica Analógica";
03133;Graduação;C3;Sim;"ELETRONICA DIGITAL";"Eletrônica Digital";"Digital Electronics"
23155P;Pós-Graduação;C3;Sim;"Estágio Docente I (Eng Comp)";"Estag Doc I Eng Comp";"Undergraduate Teaching Internship I (Computer Eng.)"
23156P;Pós-Graduação;C3;Sim;"Estágio Docente II (Eng Comp)";"Est Doc II Eng Comp";"Undergraduate Teaching Internship II (Computer Eng.)"
23058P;Pós-Graduação;C3;Sim;"Estágio Docente na Graduação (Engª de Comp / ME)";"Est Doc Engª Comp M";"Student Teaching (Computer Eng.)"
21010P;Pós-Graduação;C3;Sim;"Estágio Docente na Graduação.(MC/ME)";"ESTAG.DOC.NA GRAD.(M";"Undergraduate Teaching Internship"
01144;Graduação;C3;Sim;"ESTAGIO SUP. ENG.DA COMPUT.";"Est. Sup.Eng. Comp.";
23105;Graduação;C3;Sim;"Estágio Supervisionado em Engenharia da Computação";"Est. Sup. Eng. Comp.";"Supervised Internship in Computer Engineering"
23177;Graduação;C3;Sim;"Estágio Supervisionado em Engenharia da Computação";"Est. Sup. Eng. Com.";
23033;Graduação;C3;Sim;"Estágio Supervisionado em Engenharia de Automação I";"E. S. Eng. Autom. I";"Supervised Internship in Automation Engineering I"
23178;Graduação;C3;Sim;"Estágio Supervisionado em Engenharia de Automação I";Est.Super.Eng.Aut.I;
23035;Graduação;C3;Sim;"Estágio Supervisionado em Engenharia de Automação II";"E. S. Eng. Autom. II";"Supervised Internship in Automation Engineering II"
23179;Graduação;C3;Sim;"Estágio Supervisionado em Engenharia de Automação II";Est.Super.Eng.Aut.II;
23064;Graduação;C3;Sim;"Estágio Supervisionado em Engenharia de Computação I";"Est. Su. En. Co. I";"Supervised Internship in Computer Engineering"
23065;Graduação;C3;Sim;"Estágio Supervisionado em Engenharia de Computação II";"Est. Su. En. Co. II";"Supervised Internship in Computer Engineering II"
23051;Graduação;C3;Sim;"Estágio Supervisionado em Sistemas de Informação";"Est. Sup. Sis. Inf.";
23118;Graduação;C3;Sim;"Estágio Supervisionado em Sistemas de Informação";Est.Sup.Sist.Info.;
23176;Graduação;C3;Sim;"Estágio Supervisionado em Sistemas de Informação";"Est. Sup. Sis.";
23036;Graduação;C3;Sim;"Estrutura de Dados e Linguagem";"Est. Dados e Ling.";"Data Structure and Language"
23005;Graduação;C3;Sim;"Estrutura de Dados para a Automação";"Est. Dad. Autom.";"Data Structure for Automation"
01124;Graduação;C3;Sim;"ESTRUTURAS DE DADOS";"Estruturas  Dados";"Data Structures"
23082P;Pós-Graduação;C3;Sim;"Estudo e Seleção de Equipamentos Elétricos";"Est Sel Equip Eletri";
23094P;Pós-Graduação;C3;Sim;"Ferramentas para Síntese Física";"Ferram p_ Sínt Físic";
23039P;Pós-Graduação;C3;Sim;"Ferramentas para Sistemas Multiagentes";"Ferram p/ Sist Mult";
05138;Graduação;C3;Sim;"FISICA DA ATMOSFERA";"Física Atmosfera";
23014;Graduação;C3;Sim;"Fundamentos de Automação Industrial";"Fund. Autom. Ind.";"Fundamentals of Industrial Automation"
23013;Graduação;C3;Sim;"Fundamentos de Controle";"Fundamentos de Cont.";"Fundamentals of Control"
23061P;Pós-Graduação;C3;Sim;"Fundamentos de Controle de Processos (Esp Engª Autom e Instrum)";"Fund Contr Processos";
23083P;Pós-Graduação;C3;Sim;"Fundamentos de Controle de Processos (Esp Engª Elétrica)";"Fundam de Contr Proc";
23065P;Pós-Graduação;C3;Sim;"Fundamentos de QSMS";"Fund de QSMS";
23056P;Pós-Graduação;C3;Sim;"Fundamentos e Tecnologias para Ambientes Mistos";"Fund Tecn Amb Mistos";
23043P;Pós-Graduação;C3;Sim;"Fundamentos e Tecnologias para Percepção";"Fund Tecn p Percepç";"Fundamentals and Technologies for Perception"
23092P;Pós-Graduação;C3;Sim;"Fundamentos em Tecnologias Educacionais";"Fund Tecn Educac";
23123P;Pós-Graduação;C3;Sim;"Impacto Social da Automação ";"Impac Soc da Automaç";
23072P;Pós-Graduação;C3;Sim;"Implantação e Gestão de Projetos de Automação Industrial";"Impl Gest Proj Aut I";
23118P;Pós-Graduação;C3;Sim;"Industria 4.0 e Internet das coisas";"Ind 4.0 e Int coisas";
22002P;Pós-Graduação;C3;Sim;"Informática e Internet";"INFORMATICA E INTERN";
23184D;Graduação;C3;Sim;"Informática para Administradores";"Informática para Adm";"Informática para Administradores"
23132;Graduação;C3;Sim;"Inovação em Engenharia e Ciências Computacionais";"Ino. Eng. Cie.";
23077;Graduação;C3;Sim;Instrumentação;Instrumentação;instrumentation
23135;Graduação;C3;Sim;Instrumentação;Ins.;
23067P;Pós-Graduação;C3;Sim;"Instrumentação Industrial ( Esp Engª Elétrica)";"Instrument Indust";
23070P;Pós-Graduação;C3;Sim;"Instrumentação Industrial (Esp Engª Autom. e Instr)";"Instrumentação Indus";
01276;Graduação;C3;Sim;"Instrumentação para a Engenharia de Automação";"Ins. Eng. Autom.";"Instrumentation for Automation Engineering"
01128;Graduação;C3;Sim;"INTELIGENCIA ARTIFICIAL";"Intel. Artificial";
23041P;Pós-Graduação;C3;Sim;"Inteligência Artificial Distribuída e Sistemas Multiagentes";"Int Art Dist Sist Mu";
23134P;Pós-Graduação;C3;Sim;"Inteligência Artificial I";"Inteligência Art I";
23135P;Pós-Graduação;C3;Sim;"Inteligência Artificial II";"Inteligência Art II";
05101;Graduação;C3;Sim;"INTERACAO OCEANO-ATMOSFERA";"Inter. Oceano Atmos.";"Ocean and Atmosphere Interaction"
23043;Graduação;C3;Sim;"Interfaces Humano-Computador";"Int. Hum.-Comp.";"Human-Computer Interfaces"
01152;Graduação;C3;Sim;"INTROD CIENC DA COMPUT - C";"Int.  Cie. Comp. C";"Introduction to Computer Science"
23088P;Pós-Graduação;C3;Sim;"Introdução à Bioinformática";"Introdução à Bioinf";"Introduction to Bioinformatics"
23001;Graduação;C3;Sim;"Introdução à Ciência da Computação";"Int. Ciên. Comp.";"Introduction to Computer Science"
01063;Graduação;C3;Sim;"INTRODUÇÃO À COMPUTAÇÃO";"Introd. Computação";"introduction to computing"
23143P;Pós-Graduação;C3;Sim;"Introdução à Computação de Alto Desempenho";"Intr comp alto desem";
23162P;Pós-Graduação;C3;Sim;"Introdução à Computação Gráfica";"Intr Comp Gráfica";
23001D;Graduação;C3;Sim;"Introdução a Educação à Distância";"Int. Edu. Dist.";
23101;Graduação;C3;Sim;"Introdução à Engenharia da Computação";"Int. Eng. Computação";"Introduction to Computer Engineering"
23110;Graduação;C3;Sim;"Introdução a Engenharia de Automação";"Introd. a Eng. Autm.";" Introduction to Automation Engineering"
23004;Graduação;C3;Sim;"Introdução à Engenharia de Automação";"Int. Eng. Aut.";"Introduction to Automation Engineering"
23069;Graduação;C3;Sim;"Introdução à Engenharia de Automação";"Intr. Eng. Automação";
23163;Graduação;C3;Sim;"Introdução a Engenharia de Computação";"Int. Eng. Com.";
23105P;Pós-Graduação;C3;Sim;"Introdução à Lógica de Programação";"Introd lóg de progr";
05045P;Pós-Graduação;C3;Sim;"Introdução à Modelagem Climática";"Introdução à Modelag";"Introduction to Climate Modeling"
23014P;Pós-Graduação;C3;Sim;"Introdução à Programação Matemática";"Int Prog Matematica";
23093P;Pós-Graduação;C3;Sim;"Introdução a Recuperação da Informação";"Intr Rec da Informaç";"Introduction to Information Retrieval"
23100P;Pós-Graduação;C3;Sim;"Introdução à Robótica Inteligente";"Intr à Robót intelig";"Introduction to Robotic Intelligence"
05154;Graduação;C3;Sim;"INTRODUCAO A TURBULENCIA";"Int. Turbulência";
23104P;Pós-Graduação;C3;Sim;"Introdução à visualização de dados";"Introd viualiz dados";
23157P;Pós-Graduação;C3;Sim;"Introdução ao Aprendizado de Séries Temporais";"Intr Aprend Séries T";
23144P;Pós-Graduação;C3;Sim;"Introdução ao Aprendizado Profundo";"Intr aprend profundo";
23052P;Pós-Graduação;C3;Sim;"Introdução e Algoritmos para Biologia Computacional";"Int Alg p Biol Comp";"Introduction to Algorythms for Computaotinal Biology"
23152P;Pós-Graduação;C3;Sim;"Introduction to Deep Learning";"Intr Deep Learning";"Introduction to Deep Learning"
01153;Graduação;C3;Sim;"LAB INT CIENC COMPUTACAO";"Lab. Int. Cie. Comp.";"Laboratory of Introduction to Computer Science"
23099P;Pós-Graduação;C3;Sim;"Laboratório de Inovação";"Laboratório de Inov";
23090;Graduação;C3;Sim;"Linguagens de Programação";"Ling. de Programação";"Programming languages"
23095;Graduação;C3;Sim;"Linguagens Formais e Autômatos";"Ling. Form. e Autom.";
23046;Graduação;C3;Sim;"Linguagens Formais e Teoria da Computação";"Lin. For. Teo. Comp.";"Formal Languages and Theory of Computation"
23104;Graduação;C3;Sim;"Linguagens Formais e Teoria da Computação";"Lin. For. Teo. Comp.";"Formal Language and Theory of Computation"
01122;Graduação;C3;Sim;"LINGUAGENS PROGRAMACAO I";"Ling. Program. I";"PROGRAMMING LANGUAGES I"
01123;Graduação;C3;Sim;"LINGUAGENS PROGRAMACAO II";"Ling. Program. II";"PROGRAMMING LANGUAGES II"
23109P;Pós-Graduação;C3;Sim;"Machine Learning I: Features Learning p/ Antecip de Cenários e Riscos";"M L  I: Feat Learn .";
23113P;Pós-Graduação;C3;Sim;"Machine Learning II - Representational Learning (Fim-a-Fim)";"M L  II  Repr Learn";
23066;Graduação;C3;Sim;"Manufatura Digital";"Manufatura Digital";"Digital Manufacturing"
01252;Graduação;C3;Sim;"Matemática Discreta";"Matemática Discreta";"Discrete Mathematics"
23158P;Pós-Graduação;C3;Sim;"Metodologia da Pesquisa Científica";"Met da Pesq Cient";
23133P;Pós-Graduação;C3;Sim;"Metodologia de trabalho científico";"Met trabalho cientif";
23147P;Pós-Graduação;C3;Sim;"Metodologias ativas na Educação em Ciências";"Metod ativas em Ed C";
23114P;Pós-Graduação;C3;Sim;"Métodos Ágeis para Times Analíticos";"Mét Ágeis T Analít";
23122;Graduação;C3;Sim;"Métodos de Autenticação e Segurança em Redes";Met.Aut.Seg.Redes;
23161;Graduação;C3;Sim;"Métodos de Autenticação e Segurança em Redes - EaD";"Met. Aut. Seg.";
23015P;Pós-Graduação;C3;Sim;"Métodos Numéricos Aplicados";"Métodos Numéricos Ap";"Applied Numerical Methods"
23125P;Pós-Graduação;C3;Sim;"Modelagem Computacional aplicada a ambientes";"Mod Comp aplic ambie";
23126P;Pós-Graduação;C3;Sim;"Modelagem Computacional aplicada à Educação I";"Mod Comp aplic Ed I";
23127P;Pós-Graduação;C3;Sim;"Modelagem Computacional aplicada à Educação II";"Mod Comp aplic Ed II";
23097P;Pós-Graduação;C3;Sim;"Modelagem e Controle de Robôs";"Mod e Cont de Robôs";"Robot Modeling and Control"
23011;Graduação;C3;Sim;"Modelagem Matemática de Sistemas";"Mod. Mat. Sist.";"Mathematical Modelling of Systems"
23161P;Pós-Graduação;C3;Sim;"Modelos Linguísticos e Multimodais para Robótica Autônoma";"Mod Ling e Mult R A";
23129P;Pós-Graduação;C3;Sim;"Multiculturalismo crítico e a Educação em ciências";"Multcultur crit E C";
22016P;Pós-Graduação;C3;Sim;"Multimídia educativa - ferramentas de autoria";"MULTIMIDIA EDUC: FER";
23086P;Pós-Graduação;C3;Sim;"Normas e Procedimentos de Projetos Elétricos";"|Norm Proc Proj Elet";
22011P;Pós-Graduação;C3;Sim;"O uso da informática na prática pedagógica";"O USO DA INFORM NA P";
22017P;Pós-Graduação;C3;Sim;"O uso de blogs, flogs, webquest na educação";"USO BLOGS,FLOGS,WEBQ";
01156;Graduação;C3;Sim;"ORGANIZACAO DE COMPUTADORES";"Org. Computadores";"Computer Organization"
23086;Graduação;C3;Sim;"Organização de Computadores";"Organização de Comp.";"Computer Organization"
23055P;Pós-Graduação;C3;Sim;Otimização;Otimização;Optimization
23128P;Pós-Graduação;C3;Sim;"Pensamento Computacional e Algorítimos na Educação em Ciências";"Pens Comp Alg E C";
23110P;Pós-Graduação;C3;Sim;"Pesquisa em Computação Aplicada";"Pesq em Comp Aplic";
23138P;Pós-Graduação;C3;Sim;"Pesquisa em Robótica e Inteligência Artificial I";"Pesq Rob Int Art I";
23139P;Pós-Graduação;C3;Sim;"Pesquisa em Robótica e Inteligência Artificial II";"Pesq Rob Int Art II";
23003D;Graduação;C3;Sim;"Planejamento e Elaboração de Bases de Dados";"Plan. Ela. Bas. Dad.";
23078P;Pós-Graduação;C3;Sim;"Planejamento e Gerenciamento de Projetos";"Planej e Gerenc Proj";
23042P;Pós-Graduação;C3;Sim;"Princípios e Aplicações de Mineração de Dados";"Princ Aplic Min Dado";"Data Mining Principles and Applications"
23071P;Pós-Graduação;C3;Sim;"Processamento de Sinais";"Processam de Sinais";
23117P;Pós-Graduação;C3;Sim;"Programação Básica";"Programação Básica";
01126;Graduação;C3;Sim;"PROJ. DE SIST. SOFTWARE I";"Proj. Software I";"Software Systems Design"
01133;Graduação;C3;Sim;"PROJ. GRAD. ENG. COMPUTACAO";"Proj. Gra. Eng. Co.";
01155;Graduação;C3;Sim;"PROJ SIST SOFTWARE II - C";"Pro. Sis. Soft. II C";
23027P;Pós-Graduação;C3;Sim;"Projeto de ação na escola: ambientes de aprendizagem";"Prj ação esc obj apr";
23026P;Pós-Graduação;C3;Sim;"Projeto de ação na escola: comunicação e educação na WEB";"Prj ação esc ed web";
23059P;Pós-Graduação;C3;Sim;"Projeto de Dissertação (Engª de Comp / ME)";"Proj Diss EngªComp M";"Master\'s Thesis Project (Computer Eng.)"
23032;Graduação;C3;Sim;"Projeto de Graduação em Engenharia de Automação I";"P. G. E. Autom. I";"Graduation Project in Automation Engineering I"
23180;Graduação;C3;Sim;"Projeto de Graduação em Engenharia de Automação I";Proj.Grad.Eng.Aut.I;
23034;Graduação;C3;Sim;"Projeto de Graduação em Engenharia de Automação II";"P. G. E. Autom. II";"Graduation Project in Automation Engineering II"
23181;Graduação;C3;Sim;"Projeto de Graduação em Engenharia de Automação II";Proj.Grad.Eng.Aut.II;
23165;Graduação;C3;Sim;"Projeto de Graduação em Engenharia de Computação - I";"Pro. Gra. Eng. I";
23166;Graduação;C3;Sim;"Projeto de Graduação em Engenharia de Computação - II";"Pro. Gra. Eng. II";
23062;Graduação;C3;Sim;"Projeto de Graduação em Engenharia de Computação I";"Pr. Gr. En. Co. I";"Graduation Project in Computer Engineering I"
23063;Graduação;C3;Sim;"Projeto de Graduação em Engenharia de Computação II";"Pr. Gr. En. Co. II";"Graduation Project in Computer Engineering II"
23050;Graduação;C3;Sim;"Projeto de Graduação em Sistemas de Informação";"Pro. Gra. Sis. Inf.";
23153;Graduação;C3;Sim;"Projeto de Graduação em Sistemas de Informação - EAD";"Pro. Gra. Sis.";
23136P;Pós-Graduação;C3;Sim;"Projeto de Robôs I";"Projeto de Robôs I";
23137P;Pós-Graduação;C3;Sim;"Projeto de Robôs II";"Projeto de Robôs II";
23038P;Pós-Graduação;C3;Sim;"Projeto de Sistemas Digitais";"Projeto de Sist Digi";
23153P;Pós-Graduação;C3;Sim;"Projeto de Tese (Engª de Comp)";"Proj Tese (Eng Comp)";"PhD Dissertation Project (Computer Eng.)"
23154;Graduação;C3;Sim;"Projeto e Desenvolvimento de Software 2 - EAD";"Pro. Des. Sof.";
23096;Graduação;C3;Sim;"Projeto e Desenvolvimento de Software I";"Proj. Des. Softw. I";"Project and Software Development I"
23097;Graduação;C3;Sim;"Projeto e Desenvolvimento de Software II";"Proj. Des. Softw. II";"Project and Development of Software II"
23162;Graduação;C3;Sim;"Propriedade Intelectual e Empreendedorismo em Tecnologia da Informação";"Pro. Int. Emp.";
23081P;Pós-Graduação;C3;Sim;"Proteção e Combate a Incêndio em Sistemas Industriais";"ProtCombIncSist Ind";
23069P;Pós-Graduação;C3;Sim;"Redes de Computação Industrial";"Redes Comput Industr";
23089;Graduação;C3;Sim;"Redes de Computadores";"Redes Computadores";"Computer Networks"
23002D;Graduação;C3;Sim;"Redes de Computadores";"Red. Comput.";
01129;Graduação;C3;Sim;"REDES DE COMPUTADORES";"Redes Computadores";
23149P;Pós-Graduação;C3;Sim;"Robot Perception";"Robot Perception";"Robot Perception"
23120P;Pós-Graduação;C3;Sim;"Robótica Educativa";"Robótica Educativa";
01132;Graduação;C3;Sim;"ROBOTICA PARA ENGENHEIROS";"Robótica Engenheiros";
23151P;Pós-Graduação;C3;Sim;"Seminário: Inteligência Artificial Generativa na Educ em Ciências";"Sem:Int Art Gen Ed C";
03058P;Pós-Graduação;C3;Sim;"SEMINÁRIO: MODELAGEM APLICADA À EDUCAÇÃO I";"SEM: MOD APLIC ED I";
03059P;Pós-Graduação;C3;Sim;"SEMINÁRIO: MODELAGEM APLICADA À EDUCAÇÃO II";"SEM: MOD APLIC ED II";
23004D;Graduação;C3;Sim;"Serviços de Informação em Rede";"Serv. Info. Rede.";
23049P;Pós-Graduação;C3;Sim;"Simulação Baseada em Agentes";"Simul Baseada em Age";
23003P;Pós-Graduação;C3;Sim;"Simulação social: teoria e aplicações";"SimSoc:T e Aplicaçõe";
23008;Graduação;C3;Sim;"Sinais e Sistemas";"Sinais e Sistemas";"Signals and Systems"
23072;Graduação;C3;Sim;"Sinais e Sistemas";"Sinais e Sistemas";"signals and systems"
23100;Graduação;C3;Sim;"Sinais e Sistemas";"Sinais e Sistemas";"Signals and Systems"
23013P;Pós-Graduação;C3;Sim;"Síntese e Análise de Informações Gráficas";"Sint An Inf Graf";
23038;Graduação;C3;Sim;"Sistemas Corporativos I";"Sist. Corp. I";"Corporate Systems I"
23092;Graduação;C3;Sim;"Sistemas Corporativos I";"Sist. Corporativos I";
23041;Graduação;C3;Sim;"Sistemas Corporativos II";"Sist. Corp. II";"Corporate Systems II"
23093;Graduação;C3;Sim;"Sistemas Corporativos II";"Sis. Corporativos II";
23078;Graduação;C3;Sim;"Sistemas de Acionamento";"Sist. Acionamento";"actuation systems"
